Galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,Vbar_kms,gobs_km2s2_per_kpc,gbar_km2s2_per_kpc,log10_gobs,log10_gbar,is_outer
DDO161,4.86,48.9,1.96,27.08,23.7,0.0,35.986336295877635,492.0185185185185,266.4642798353909,2.691981448984947,2.425638999065714,True
DDO161,5.34,51.5,1.53,27.81,22.69,0.0,35.891951744088814,496.6760299625468,241.24198501872658,2.6960732010538258,2.382452893332047,True
DDO161,5.81,53.0,1.86,28.4,21.59,0.0,35.67475437897225,483.4767641996558,219.05130808950085,2.684375606811247,2.3405458509602375,True
DDO161,6.28,55.0,1.48,28.98,20.86,0.0,35.70686208559918,481.68789808917194,203.02229299363057,2.6827657352512917,2.307543728516885,True
DDO161,6.75,57.6,0.99,29.57,20.11,0.0,35.760271251767655,491.52000000000004,189.4514074074074,2.6915411940153993,2.2774978359345828,True
DDO161,7.22,59.7,1.19,30.3,19.38,0.0,35.96768549684563,493.6412742382272,179.17927977839335,2.693411464689099,2.2532877865862107,True
DDO161,7.69,60.5,1.26,31.18,18.7,0.0,36.35770069737634,475.9752925877763,171.89628088426525,2.6775844095035066,2.235266480474638,True
DDO161,8.16,61.8,1.33,32.06,18.06,0.0,36.796836820574676,468.0441176470588,165.9322549019608,2.6702867914237705,2.2199308149837105,True
DDO161,8.64,62.9,1.35,32.64,17.47,0.0,37.021216889778216,457.917824074074,158.63084490740738,2.6607875484116446,2.2003876373991744,True
DDO161,9.11,63.0,2.09,33.23,16.94,0.0,37.29874662773536,435.6750823271131,152.7109220636663,2.639162721934165,2.183870099416282,True
DDO161,9.58,64.5,2.38,33.38,16.44,0.0,37.20884303495609,434.2640918580376,144.519624217119,2.637753920191991,2.1599268236360634,True
DDO161,10.05,65.6,1.08,33.38,15.98,0.0,37.007901858927376,428.1950248756218,136.27709452736318,2.6316416169948127,2.134422865692841,True
DDO161,10.52,67.5,3.22,32.79,15.57,0.0,36.29888428037424,433.1036121673004,125.24800380228136,2.6365918058443296,2.097770812826209,True
DDO161,10.99,66.8,2.37,32.06,15.18,0.0,35.472186287287116,406.0272975432211,114.49281164695178,2.6085552325276007,2.058778220649158,True
DDO161,11.46,66.8,0.95,31.18,14.81,0.0,34.518524012477705,389.3752181500872,103.9728184991274,2.59036830731972,2.0169198170030187,True
DDO161,11.94,66.6,0.96,30.3,14.47,0.0,33.57783346197309,371.4874371859296,94.42804857621441,2.5699441315472518,1.9751010147699384,True
DDO161,12.41,66.8,0.99,29.42,14.16,0.0,32.650298620380184,359.5680902497985,85.90185334407737,2.5557811434523616,1.934002533894373,True
DDO161,12.9,66.3,0.74,28.69,13.86,0.0,31.86244968611171,340.7511627906976,78.69889147286823,2.532437346510297,1.8959686150705388,True
DDO161,13.37,66.1,1.31,27.81,13.59,0.0,30.952935240458213,326.792071802543,71.65925205684367,2.514271511709296,1.8552722709068326,True
DDO168,0.41,15.0,4.1,10.41,8.28,0.0,13.301372109673498,548.7804878048781,431.5280487804878,2.7393986613916272,2.6350090295638413,False
DDO168,0.82,23.4,1.3,18.08,12.66,0.0,22.071746645881923,667.7560975609756,594.0999999999999,2.824617862436569,2.773859552376687,False
DDO168,1.24,29.2,1.5,20.09,15.11,0.0,25.138022993067693,687.6129032258065,509.61306451612904,2.8373440177346017,2.7072405531077792,False
DDO168,1.64,36.2,1.1,20.2,15.99,0.0,25.762765767673315,799.0487804878051,404.7073780487805,2.9025732930186336,2.6071411219024756,False
DDO168,2.06,44.0,1.1,22.0,16.89,0.0,27.735754902291735,939.8058252427185,373.4330582524272,2.9730381326032216,2.5722127613396597,False
DDO168,2.47,52.1,1.2,22.63,17.03,0.0,28.32203735609428,1098.9514170040486,324.7521457489878,3.040978493339383,2.5115520292873788,False
DDO168,2.89,52.9,1.7,22.95,16.99,0.0,28.554554803043242,968.3079584775086,282.13238754325255,2.9860135013138236,2.450452944092071,True
DDO168,3.3,54.8,2.2,22.74,17.19,0.0,28.506204587773517,910.0121212121211,246.24354545454545,2.959047177090851,2.3913648555748788,True
DDO168,3.71,55.0,2.5,22.74,17.16,0.0,28.488123841348344,815.3638814016173,218.75288409703504,2.9113514693734417,2.339953787587702,True
DDO168,4.12,52.0,2.7,22.74,16.37,0.0,28.01935937882949,656.3106796116505,190.5544902912621,2.817109471236464,2.280019187092655,True
